Zipcode,22_01,23_01,24_01,22_03,23_03,22_05,23_05,22_07,23_07,22_09,23_09,22_11,23_11
00601,2523,3665,4661,2628,3928,2958,4290,3158,4364,3396,4696,3753,4561
00602,4061,6646,8201,4475,6707,4792,7316,5189,7588,5768,7952,6801,7975
00603,5986,8732,11159,6813,9024,7323,9647,7552,9975,8070,10566,8967,10790
00604,22,35,55,33,38,28,52,29,50,32,58,35,54
00605,98,160,226,103,180,117,206,129,216,149,219,160,216
00606,878,1206,1417,949,1248,1002,1296,1098,1280,1098,1345,1286,1333
00610,2383,3867,4996,2681,4075,2959,4358,3173,4559,3475,4902,3882,4817
00611,77,117,180,92,134,98,144,103,152,113,154,114,165
00612,8889,13211,17411,9773,14102,10752,15296,11623,15760,12543,16824,13694,16826
00613,79,114,115,82,112,93,120,96,121,113,127,123,115
00614,40,55,60,51,52,53,55,57,56,60,55,66,57
00616,422,555,574,463,549,502,548,510,578,538,585,559,575
00617,2903,4332,5619,3211,4551,3373,4854,3619,5075,3857,5398,4396,5452
00622,259,361,455,287,368,299,400,311,418,336,427,368,445
00623,4360,6703,6820,5107,6703,5757,6948,6044,6949,6836,6967,7360,6563
00624,3341,4305,4738,3625,4448,3730,4677,3939,4738,4080,4799,4503,4732
00627,3712,5250,6826,3942,5675,4178,6059,4513,6226,4950,6653,5446,6719
00631,107,136,185,109,136,111,176,117,186,120,176,127,188
00636,24,51,49,24,52,31,54,33,53,38,53,47,50
00637,2748,3757,4402,2853,3910,2967,4170,3217,4212,3451,4394,3870,4328
00638,2560,3591,4661,2773,3667,3067,3864,3264,4165,3540,4347,3817,4473
00641,4084,5840,7302,4349,6172,4597,6517,5069,6800,5728,7196,6234,7096
00646,2827,4452,5139,3048,4512,3408,4682,3563,4773,3860,5003,4404,5022
00647,475,650,683,542,639,585,661,641,677,719,696,752,658
00650,1638,2481,3250,1825,2653,1936,2787,2050,2930,2313,3068,2588,3063
00652,147,235,276,154,241,180,261,209,260,229,268,248,259
00653,1611,2172,2658,1658,2282,1804,2413,1939,2415,2175,2505,2348,2570
00656,2158,2936,3522,2239,3090,2364,3196,2518,3117,2710,3298,2972,3347
00659,4072,6208,7970,4568,6617,5044,7180,5504,7332,5936,7742,6466,7677
00660,1555,2339,2823,1711,2384,1842,2532,1952,2625,2179,2756,2453,2701
00662,4584,7182,9118,5075,7543,5636,7998,6187,8303,6630,8647,7204,8695
00664,2748,3552,4158,2903,3688,2982,3908,3074,4003,3249,4093,3597,4014
00667,2984,4117,5030,3095,4286,3400,4488,3613,4574,3964,4783,4385,4756
00669,4011,5747,7117,4362,6072,4805,6535,5339,6656,5716,6861,6177,6954
00670,1242,1838,2411,1403,1921,1621,2121,1714,2201,1837,2317,1979,2322
00674,4883,7472,9253,5792,7720,5976,8100,6407,8368,7057,8760,7753,8792
00676,4725,7187,8497,5863,7312,6242,7689,6460,7896,6791,8226,7457,8247
00677,1325,2201,2663,1738,2273,1757,2556,1727,2596,1799,2689,2173,2671
00678,2437,4144,5299,2720,4436,2999,4804,3422,4932,3935,5240,4325,5291
00680,6644,10190,11622,7304,10329,8041,10976,8628,11373,9528,11597,10464,11403
00681,97,108,151,108,110,114,129,107,130,110,153,121,151
00682,1915,2818,3884,1970,2966,2119,3137,2273,3298,2481,3575,2771,3684
00683,3612,5084,6183,3753,5200,4059,5448,4405,5671,4760,5901,5178,5905
00685,4532,7658,10569,5465,8211,5857,9050,6551,9490,7037,9988,7726,10096
00687,3791,5746,6832,4201,5851,4716,6010,5034,6114,5394,6447,6022,6571
00688,539,747,903,578,774,608,826,599,862,636,894,718,896
00690,536,687,853,590,722,657,776,662,808,671,834,747,842
00692,3716,5238,6279,4216,5359,4462,5636,4639,5844,4946,6202,5440,6087
00693,6597,9109,10736,7038,9360,7265,9690,7876,9749,8630,10197,9524,10309
00694,165,244,347,161,288,169,347,176,405,191,404,227,383
00698,4486,6481,7508,4642,6870,4906,7174,5327,7280,5915,7431,6658,7240
00703,2851,4426,4604,3556,4449,3783,4630,4108,4723,4449,4778,4883,4532
00704,601,746,888,617,746,678,761,680,791,740,829,803,852
00705,2496,4270,5075,2743,4656,3094,4882,3499,4969,3930,5186,4351,4960
00707,1647,2157,2521,1824,2145,1858,2230,2046,2347,2093,2390,2274,2382
